index,id,name,lat,lon,capacity,hr,availableBikes
10487,720,"Star Road, West Kensington",51.48724429,-0.205279052,22,7,17.5
10488,720,"Star Road, West Kensington",51.48724429,-0.205279052,23,7,
10489,721,"Wendon Street, Old Ford",51.53603947,-0.026262677,15,7,12.0
10490,721,"Wendon Street, Old Ford",51.53603947,-0.026262677,16,7,
10491,721,"Wendon Street, Old Ford",51.53603947,-0.026262677,17,7,
10492,722,"Finnis Street, Bethnal Green",51.52458353,-0.058631453,19,7,16.166666666666668
10493,723,"Stephendale Road, Sands End",51.46822047,-0.190346493,48,7,34.833333333333336
10494,724,"Alma Road, Wandsworth",51.45799126,-0.184806157,28,7,0.0
10495,725,"Thessaly Road North, Wandsworth Road",51.47732253,-0.138748723,19,7,12.833333333333334
10496,725,"Thessaly Road North, Wandsworth Road",51.47732253,-0.138748723,21,7,
10497,725,"Thessaly Road North, Wandsworth Road",51.47732253,-0.138748723,22,7,
10498,725,"Thessaly Road North, Wandsworth Road",51.47732253,-0.138748723,23,7,
10499,726,"Alfreda Street, Battersea Park",51.47505096,-0.150908371,21,7,14.5
10500,727,"Chesilton Road, Fulham",51.47569809,-0.20587627,22,7,13.666666666666666
10501,727,"Chesilton Road, Fulham",51.47569809,-0.20587627,23,7,
10502,728,"Putney Bridge Road, East Putney",51.46199911,-0.206240805,27,7,
10503,728,"Putney Bridge Road, East Putney",51.46199911,-0.206240805,28,7,
10504,728,"Putney Bridge Road, East Putney",51.46199911,-0.206240805,29,7,6.0
10505,729,"St. Peter's Terrace, Fulham",51.47893931,-0.208485293,22,7,9.0
10506,729,"St. Peter's Terrace, Fulham",51.47893931,-0.208485293,23,7,
10507,730,"Bridge Avenue, Hammersmith",51.49208492,-0.229116862,16,7,
10508,730,"Bridge Avenue, Hammersmith",51.49208492,-0.229116862,17,7,
10509,730,"Bridge Avenue, Hammersmith",51.49208492,-0.229116862,18,7,12.666666666666666
10510,731,"Michael Road, Walham Green",51.47727637,-0.189210466,35,7,17.666666666666668
10511,731,"Michael Road, Walham Green",51.47727637,-0.189210466,36,7,
10512,732,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,18,7,
10513,732,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,19,7,11.666666666666666
10514,732,"Duke Street Hill, London Bridge",51.50630441,-0.087262995,20,7,
10515,733,"Park Lane, Mayfair",51.50542628,-0.150817316,18,7,7.5
10516,734,"Plough Terrace, Clapham Junction",51.46230566,-0.175407201,30,7,15.5
10517,734,"Plough Terrace, Clapham Junction",51.46230566,-0.175407201,31,7,
10518,735,"Grant Road East, Clapham Junction",51.46489445,-0.17302926,25,7,
10519,735,"Grant Road East, Clapham Junction",51.46489445,-0.17302926,26,7,
10520,735,"Grant Road East, Clapham Junction",51.46489445,-0.17302926,27,7,11.166666666666666
10521,736,"Queensdale Road, Shepherd's Bush",51.50659035,-0.216104479,28,7,5.0
10522,737,"Fulham Broadway, Walham Green",51.47993289,-0.19411695,26,7,7.833333333333333
10523,738,"Imperial Road, Sands End",51.47514228,-0.187278987,36,7,
10524,738,"Imperial Road, Sands End",51.47514228,-0.187278987,37,7,21.666666666666668
10525,739,"Hortensia Road, West Brompton",51.48176572,-0.185273723,27,7,22.5
10526,739,"Hortensia Road, West Brompton",51.48176572,-0.185273723,28,7,
10527,740,"Sirdar Road, Avondale",51.51092871,-0.214594781,26,7,4.666666666666667
10528,741,"Freston Road, Avondale",51.5129814,-0.219486603,23,7,13.0
10529,742,"Blenheim Crescent, Ladbroke Grove",51.51510818,-0.208565479,22,7,11.666666666666666
10530,743,"Oxford Road, Putney",51.46079243,-0.212607684,29,7,0.0
10531,744,"Ingrave Street, Clapham Junction",51.46745485,-0.172293499,30,7,25.166666666666668
10532,745,"Upcerne Road, West Chelsea",51.47816972,-0.18243547,27,7,20.0
10533,746,"Lots Road, West Chelsea",51.4795738,-0.17903854,24,7,8.666666666666666
10534,747,"Ormonde Gate, Chelsea",51.48796408,-0.161765173,24,7,14.0
10535,748,"Hertford Road, De Beauvoir Town",51.53727795,-0.079201849,25,7,6.0
10536,749,"Haggerston Road, Haggerston ",51.53932857,-0.074284675,36,7,
10537,749,"Haggerston Road, Haggerston ",51.53932857,-0.074284675,37,7,32.666666666666664
10538,750,"Culvert Road, Battersea",51.4710956,-0.157850096,27,7,5.0
10539,751,"Newton Street, Covent Garden",51.51612862,-0.120909408,24,7,1.3333333333333333
10540,752,"Manfred Road, East Putney",51.45816465,-0.20600248,18,7,
10541,752,"Manfred Road, East Putney",51.45816465,-0.20600248,19,7,2.3333333333333335
10542,753,"Hammersmith Town Hall, Hammersmith",51.49263658,-0.234094148,26,7,19.333333333333332
10543,753,"Hammersmith Town Hall, Hammersmith",51.49263658,-0.234094148,27,7,
10544,754,"Grenfell Road, Avondale",51.5129006,-0.214762686,24,7,17.666666666666668
10545,755,"The Vale, Chelsea",51.48512191,-0.174971902,23,7,6.0
10546,755,"The Vale, Chelsea",51.48512191,-0.174971902,24,7,
10547,756,"Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,18,7,16.166666666666668
10548,756,"Prince of Wales Drive, Battersea Park",51.47515398,-0.159169801,20,7,
10549,757,"Harcourt Terrace, West Brompton",51.48795853,-0.187404506,22,7,12.666666666666666
10550,757,"Harcourt Terrace, West Brompton",51.48795853,-0.187404506,23,7,15.0
10551,758,"Westbourne Park Road, Portobello",51.51787005,-0.201005397,23,7,4.333333333333333
10552,759,"Broadley Terrace, Marylebone",51.52456169,-0.165668686,17,7,3.3333333333333335
10553,760,"Rossmore Road, Marylebone",51.52526975,-0.163795009,18,7,15.0
10554,761,"Humbolt Road, Fulham",51.48321729,-0.211860644,25,7,0.16666666666666666
10555,762,"Storey's Gate, Westminster",51.50070305,-0.129698963,19,7,5.5
10556,762,"Storey's Gate, Westminster",51.50070305,-0.129698963,20,7,
10557,763,"Mile End Park Leisure Centre, Mile End",51.52059714,-0.032566533,46,7,
10558,763,"Mile End Park Leisure Centre, Mile End",51.52059714,-0.032566533,47,7,25.0
10559,764,"St. John's Road, Clapham Junction",51.46239255,-0.16829214,33,7,21.833333333333332
10560,765,"Ranelagh Gardens, Fulham",51.46760141,-0.20682737,39,7,8.0
10561,766,"Ram Street, Wandsworth",51.45752945,-0.192165613,23,7,18.166666666666668
10562,766,"Ram Street, Wandsworth",51.45752945,-0.192165613,24,7,
10563,766,"Ram Street, Wandsworth",51.45752945,-0.192165613,25,7,
10564,767,"Santos Road, Wandsworth",51.45705988,-0.200806304,30,7,3.1666666666666665
10565,768,"Clapham Common North Side, Clapham Common",51.46134382,-0.159322467,36,7,
10566,768,"Clapham Common North Side, Clapham Common",51.46134382,-0.159322467,37,7,17.166666666666668
10567,769,"Sandilands Road, Walham Green",51.473611,-0.191803,21,7,6.833333333333333
10568,770,"Gwendwr Road, West Kensington",51.491026,-0.209121,30,7,19.0
10569,771,"Rifle Place, Avondale",51.509224,-0.216016,19,7,
10570,771,"Rifle Place, Avondale",51.509224,-0.216016,20,7,16.0
10571,772,"Binfield Road, Stockwell",51.47250956,-0.122831913,0,7,
10572,773,"Tallis Street, Temple",51.511891,-0.107349,24,7,5.5
10573,774,"Hurlingham Park, Parsons Green",51.470131,-0.20464,19,7,2.0
10574,775,"Little Brook Green, Brook Green",51.496664,-0.223868,33,7,19.5
10575,777,"Limburg Road, Clapham Junction",51.46192307,-0.165297857,21,7,19.833333333333332
10576,779,"Houndsditch, Aldgate",51.514449,-0.077178979,28,7,13.833333333333334
10577,780,"Imperial Wharf Station, Sands End",51.474665,-0.18316517,23,7,8.833333333333334
10578,780,"Imperial Wharf Station, Sands End",51.474665,-0.18316517,24,7,
10579,781,"Victoria & Albert Museum, South Kensington",51.496653,-0.172065,29,7,6.0
10580,782,"Halford Road, West Kensington",51.483911,-0.19760944,24,7,12.333333333333334
10581,783,"Monier Road, Hackney Wick",51.5403115,-0.021630359,26,7,17.833333333333332
10582,783,"Monier Road, Hackney Wick",51.5403115,-0.021630359,27,7,
10583,784,"East Village, Queen Elizabeth Olympic Park",51.546326,-0.00993526,33,7,10.833333333333334
10584,784,"East Village, Queen Elizabeth Olympic Park",51.546326,-0.00993526,34,7,
10585,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,40,7,4.166666666666667
10586,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,41,7,
10587,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,42,7,
10588,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,43,7,
10589,786,"Lee Valley VeloPark, Queen Elizabeth Olympic Park",51.549369,-0.015717614,44,7,
10590,787,"Timber Lodge, Queen Elizabeth Olympic Park",51.546805,-0.01469126,34,7,32.5
10591,787,"Timber Lodge, Queen Elizabeth Olympic Park",51.546805,-0.01469126,35,7,
10592,788,"Copper Box Arena, Queen Elizabeth Olympic Park",51.544836,-0.019524752,29,7,12.666666666666666
10593,788,"Copper Box Arena, Queen Elizabeth Olympic Park",51.544836,-0.019524752,31,7,
10594,789,"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,36,7,18.666666666666668
10595,789,"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,37,7,
10596,789,"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,38,7,
10597,789,"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,39,7,
10598,789,"Podium, Queen Elizabeth Olympic Park",51.538718,-0.011889482,40,7,
10599,790,"Stratford Station, Stratford",51.541793,-0.00481,28,7,23.166666666666668
10600,792,"Blackfriars Road, Southwark",51.505461,-0.10454093,39,7,
10601,792,"Blackfriars Road, Southwark",51.505461,-0.10454093,40,7,4.5
10602,792,"Blackfriars Road, Southwark",51.505461,-0.10454093,41,7,
10603,793,"Cromer Street, Bloomsbury",51.528279,-0.11955857,28,7,15.166666666666666
10604,794,"Lansdowne Way Bus Garage, Stockwell",51.474567,-0.12458,21,7,
10605,794,"Lansdowne Way Bus Garage, Stockwell",51.474567,-0.12458,22,7,13.833333333333334
10606,795,"Melton Street, Euston",51.527566,-0.13484927,30,7,7.666666666666667
10607,796,"Coram Street, Bloomsbury",51.524,-0.12640984,28,7,23.333333333333332
10608,796,"Coram Street, Bloomsbury",51.524,-0.12640984,29,7,
10609,797,"Ossulston Street, Somers Town",51.5293,-0.12827903,30,7,13.333333333333334
10610,798,"Birkenhead Street, King's Cross",51.53019988,-0.122299441,26,7,4.166666666666667
10611,799,"Kings Gate House, Westminster",51.49769846,-0.137598896,24,7,9.0
10612,800,"Sopwith Way, Battersea Park",51.48112194,-0.149035375,27,7,19.166666666666668
10613,800,"Sopwith Way, Battersea Park",51.48112194,-0.149035375,28,7,
10614,801,"Lavington Street, Bankside",51.50522417,-0.098031812,29,7,19.5
10615,802,"Albert Square, Stockwell",51.47659006,-0.118256789,30,7,
10616,802,"Albert Square, Stockwell",51.47659006,-0.118256789,31,7,10.0
10617,803,"Southwark Street, Bankside",51.50540994,-0.098341088,21,7,
10618,803,"Southwark Street, Bankside",51.50540994,-0.098341088,22,7,
10619,803,"Southwark Street, Bankside",51.50540994,-0.098341088,23,7,11.0
10620,804,"Good's Way, King's Cross",51.53466774,-0.125078653,27,7,4.333333333333333
10621,805,"Bevington Road, North Kensington",51.52006942,-0.206338384,17,7,7.666666666666667
10622,805,"Bevington Road, North Kensington",51.52006942,-0.206338384,18,7,
10623,806,"Handyside Street, King's Cross",51.53724056,-0.124807386,26,7,
10624,806,"Handyside Street, King's Cross",51.53724056,-0.124807386,27,7,14.0
10625,807,"Bevington Road West, North Kensington",51.5212,-0.20888818,22,7,
10626,807,"Bevington Road West, North Kensington",51.5212,-0.20888818,23,7,
10627,807,"Bevington Road West, North Kensington",51.5212,-0.20888818,24,7,18.333333333333332
10628,808,"Stockwell Roundabout, Stockwell",51.47348621,-0.12255563,23,7,
10629,808,"Stockwell Roundabout, Stockwell",51.47348621,-0.12255563,24,7,
10630,808,"Stockwell Roundabout, Stockwell",51.47348621,-0.12255563,25,7,
10631,808,"Stockwell Roundabout, Stockwell",51.47348621,-0.12255563,26,7,8.5
10632,809,"Lincoln's Inn Fields, Holborn",51.51627788,-0.118272992,25,7,
10633,809,"Lincoln's Inn Fields, Holborn",51.51627788,-0.118272992,27,7,0.0
10634,810,"Tate Modern, Bankside",51.50672529,-0.098807246,26,7,17.0
10635,810,"Tate Modern, Bankside",51.50672529,-0.098807246,27,7,
10636,810,"Tate Modern, Bankside",51.50672529,-0.098807246,30,7,
10637,811,"Westferry Circus, Canary Wharf",51.50570304,-0.027772743,35,7,34.5
10638,811,"Westferry Circus, Canary Wharf",51.50570304,-0.027772743,36,7,
10639,812,"Here East North, Queen Elizabeth Olympic Park",51.54873119,-0.022606555,28,7,25.0
10640,813,"New Spring Gardens Walk, Vauxhall",51.48780745,-0.122759626,34,7,18.166666666666668
10641,813,"New Spring Gardens Walk, Vauxhall",51.48780745,-0.122759626,35,7,
10642,813,"New Spring Gardens Walk, Vauxhall",51.48780745,-0.122759626,36,7,
10643,814,"Clapham Road, Lingham Street, Stockwell",51.47143307,-0.123670736,29,7,4.166666666666667
10644,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,34,7,22.0
10645,815,"Lambeth Palace Road, Waterloo",51.5000892,-0.116628701,35,7,
10646,817,"Riverlight South, Nine Elms",51.48133547,-0.138212296,25,7,22.0
10647,818,"One Tower Bridge, Bermondsey",51.5031278,-0.078655507,27,7,21.333333333333332
10648,1,"River Street , Clerkenwell",51.52916347,-0.109970527,18,8,0.0
10649,1,"River Street , Clerkenwell",51.52916347,-0.109970527,19,8,
10650,2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,37,8,1.1666666666666667
10651,3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,32,8,16.166666666666668
10652,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,22,8,
10653,4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,23,8,0.16666666666666666
10654,5,"Sedding Street, Sloane Square",51.49313,-0.156876,27,8,21.666666666666668
10655,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,17,8,14.166666666666666
10656,6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,18,8,
10657,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,13,8,
10658,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,14,8,0.0
10659,7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,15,8,
10660,8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,38,8,17.333333333333332
10661,8,"Lodge Road, St. John's Wood",51.52834133,-0.170134484,39,8,
10662,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,17,8,4.333333333333333
10663,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,18,8,
10664,9,"New Globe Walk, Bankside",51.5073853,-0.096440751,19,8,
10665,10,"Park Street, Bankside",51.50597426,-0.092754157,18,8,12.166666666666666
10666,11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,24,8,3.8333333333333335
10667,12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,49,8,15.333333333333334
10668,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,20,8,6.0
10669,13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,21,8,
10670,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,42,8,
10671,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,43,8,
10672,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,44,8,36.5
10673,14,"Belgrove Street , King's Cross",51.52994371,-0.123616824,45,8,
